,SITE_NAME,BIAS_LSTM,BIAS_CLSTM,KGE_LSTM,KGE_CLSTM,R_LSTM,R_CLSTM,BETA_LSTM,BETA_CLSTM,GAMMA_LSTM,GAMMA_CLSTM,R2_LSTM,R2_CLSTM,RMSE_LSTM,RMSE_CLSTM,MAPE_LSTM,MAPE_CLSTM
0,DE-Geb,-2.151268238689717,-2.061919249056306,0.42410907431882783,0.6630581117126959,0.4430788161830246,0.6924570013572177,1.1123014444292463,1.1076372094381524,0.9057793075968927,0.9142015663733482,-0.7560111246212617,-0.20520548412584416,3.5809321405749333,2.966627438808826,16.241110895144217,13.57862720573791
1,NL-Hor,-3.3478372221883177,-2.574011195271808,0.7145799917750599,0.7329715756619519,0.8730237127964955,0.8897086422317203,1.0442568821236375,1.034027254759897,0.7482403289487524,0.7592051874736603,0.7192302963166917,0.7602094298157109,9.545469842993834,8.821414685167897,9.485116272702328,8.918689546148475
2,CH-Cha,1.8873610255784143,2.037137507793709,0.4790862353985531,0.4267910066216438,0.4805191406918427,0.43390704614637743,0.9657245570350452,0.9630045393997926,1.0177758536578785,1.0820893024826448,-0.2016703298959548,-0.39149617932217806,4.873945606011346,5.244801040616798,6.374681462188852,7.1530172295435515
3,AU-Tum,3.1163253603483483,1.6101002000507556,0.5527656282511026,0.7092143979280754,0.6184288875960581,0.7205297794095391,0.8929291467511418,0.9446801016257426,0.792737119008225,0.9417559357589746,0.011734502657733348,0.39373224742181734,5.143900254447847,4.028913620230789,13.560318699000677,10.61573461718999
4,US-MMS,-1.3730607231694947,-1.653166145796341,0.5861472147053548,0.6120738775934622,0.7183697847495215,0.643719728514921,1.038968553086931,1.046918167293632,0.6992675580779222,0.8538845313674924,0.4817470239721633,0.30212384129265835,5.3417393477661514,6.198705039241065,14.068802083934692,15.964594755984967
5,DE-Obe,-2.31588069776263,-0.4062429795619451,0.45801747009202876,0.333196548213629,0.5481408038764622,0.5841432303127169,1.0806416328669608,1.0141458483782277,1.2882104381395398,1.521046912852516,-0.6101402635117976,-0.5834490777668622,6.598433018595376,6.543513580619936,19.48785943182834,17.459871631784292
6,CN-Cng,-6.915750301361079,-4.443490474700923,0.295978364013182,0.28472422744875225,0.4101701452270995,0.313547316062064,1.1974123744394005,1.1268409018811636,0.6701885981741494,0.8440720386743885,-0.1176185183467906,-0.3626752583584809,20.127754861120255,22.22515125046154,55.01646217940998,51.0205944437454
7,CH-Dav,1.5734032767740906,0.9049969682820667,0.15259007805088265,0.4809080294742125,0.4148310678445873,0.7553001789646535,0.9514548383080308,0.9720775818860184,0.3889973290285846,0.5430549157543301,0.03497922786489838,0.47406561365690914,4.205050322562769,3.1043354894856066,11.668589192532178,7.956073261718551
8,AU-Fog,-2.369579858805352,0.9966666825358033,0.5160068721059227,0.7653186068015767,0.9561117044690757,0.8913994557997739,1.0248850187973526,0.9895331364176505,0.5186436858173165,0.7922219384061056,0.589327926440441,0.7574672654052599,3.9937523159173423,3.069154304906153,2.748702037756703,2.596433599644782
9,AU-ASM,-0.7216534702587127,-0.7848686818885797,-0.24706268128977138,-0.41961710258885465,-0.13437441501600483,-0.12943917813247008,1.169183000023142,1.1840030481368227,0.5103704153894494,0.1598674276409804,-0.6057702601120261,-0.19049881449862816,3.0595995323382303,2.6344342525727478,49.5794808405674,48.403041164702714
10,DE-Gri,-2.7675604636174924,-0.5390213851651211,0.3384765299257738,0.4067713570371543,0.4060930080977814,0.45789583683417534,1.0708708542760677,1.0138030971832097,0.7173958449652872,0.7594739647814164,-0.13722137974556703,0.105800458770822,7.137436762785564,6.32902756095152,15.96180207430003,13.129234831871827
11,US-Ton,0.5955021009666055,-0.24862132577193208,0.8506681318066591,0.8344706845389168,0.8554939558417173,0.8460237450149743,0.9629922019178979,1.0154507058969857,1.0069593779141615,0.9412416570597331,0.7162183865085738,0.7032538397676706,6.2096392899183455,6.3498987507467275,28.001860226121583,28.677565453406473
12,CA-Qfo,0.2844092947006249,-0.4431426738739006,0.36090569337692324,0.3189883457223127,0.4163011594288123,0.41591865957018753,0.9822752116777469,1.027617276359551,0.740340553507457,0.650910975437173,0.07095198659870061,0.09519286975284602,3.6356911206801796,3.587946075058734,21.455172793506637,21.78994835988021
13,US-GLE,2.743562974497479,1.648977187042238,0.6601730813014972,0.7499519647872657,0.690693108118337,0.8032276941692361,0.890349791875314,0.9340963945669377,0.9117480132527481,0.8604958984018162,0.33222774872383243,0.598151965864362,6.214070847092593,4.820509468412574,17.467229152870903,14.257011927474158
14,BE-Vie,0.3594310327031067,0.021753900169962037,0.7090944985725154,0.7035661429410784,0.7099221630915652,0.7239057735104547,0.9894418787098567,0.9993609891867132,0.9807805991216603,0.8920898458200094,0.42231480267688837,0.4958945133560223,2.3244557516740754,2.171382712593924,5.088275206779324,4.6671417496272465
15,IT-Ro2,-1.7646255438741036,-0.8398394186909961,0.6238829009045275,0.7626743729329442,0.7650951795196301,0.7978864699759687,1.0878788536974273,1.0418242417835837,0.7197124608194206,0.8828492123661792,0.49257438684060595,0.600819331994892,4.133535405104647,3.6662343283667695,19.754117929782346,15.666372985616622
16,CH-Fru,-3.0172378986299933,-1.1182378804368227,0.33529676119497054,0.46144796747803296,0.4775398933887016,0.6432389432506005,1.068117998284116,1.0252456480330623,0.5947522103855816,0.5973556192171753,0.09560911072516187,0.3980337584591861,8.749164224218601,7.13796719026439,18.52486317061313,15.310645260735233
17,AT-Neu,2.7845903493826754,-1.1641915442112492,0.046879145618122564,0.5576090732446819,0.3413473640878655,0.6031279923566861,0.9017183716738726,1.0410899365050073,1.6818774008553166,1.1910862599524337,-1.49273168402684,-0.08174487742579184,9.205701010584397,6.064311792749446,25.873105746737156,17.2007567640654
18,FI-Hyy,4.315622632206505,3.1136370277840726,0.44405679088584016,0.32898873602165524,0.4915863843285206,0.3599715727142375,0.8461943732753686,0.8890322590122999,0.8358894386462372,0.8317564589292772,-0.10825453316595834,-0.1723443009931689,8.248555849204772,8.483708726603174,25.768172574437294,26.816700233860946
19,IT-Col,1.665301864079069,1.0874552252633265,0.6875243133578871,0.7802111585546699,0.7254934218188905,0.7869425253609701,0.9613987860502735,0.974793103450736,1.1442121338839621,0.9522688813175906,0.30898125536964394,0.5664418130614578,4.986454155597763,3.949759135008699,8.613130326201263,7.155261439223878
20,IT-MBo,0.6183260816133966,-0.8482862999549283,0.3079198061436893,0.5276997541069719,0.3850999672574033,0.5321111214847761,0.9867038548560433,1.0182410836340603,1.3173265778116499,0.9382360744427933,-0.704567998628365,0.07357035520586674,6.347827599304119,4.679766450703786,11.229172197335027,8.28408088255263
21,AU-Rig,1.317372937988285,0.1788765733947777,0.7078285450791917,0.6040954219277179,0.8383417629781701,0.682628562941195,0.9504821925439443,0.9932763339337396,0.7617170584823982,0.7634189394891255,0.6822097131592935,0.46011883010148613,8.55658267979974,11.152677188206082,31.57506464111722,38.33332398152825
